,nomClass,time_video,c
1387,taxi,9,2
1388,taxi,18,1
1389,taxi,19,1
1390,taxi,27,1
1391,taxi,28,1
1392,taxi,32,1
1393,taxi,33,1
1394,taxi,41,1
1395,taxi,45,1
1396,taxi,47,3
1397,taxi,49,1
1398,taxi,50,2
1399,taxi,79,3
1400,taxi,81,1
1401,taxi,83,1
1402,taxi,84,1
1403,taxi,89,2
1404,taxi,93,1
1405,taxi,95,2
1406,taxi,97,3
1407,taxi,101,3
1408,taxi,102,1
1409,taxi,105,1
1410,taxi,138,1
1411,taxi,139,1
1412,taxi,146,1
1413,taxi,152,1
1414,taxi,153,1
1415,taxi,156,1
1416,taxi,172,1
1417,taxi,173,1
1418,taxi,176,2
